t[min],T_inlet[C],T_outlet[C],w_clothes_ideal[g],w_clothes_ideal[%]
0,34.65,34.95,637.596,6.8
0.033333333,34.65,34.95,637.4432195,6.774408629
0.066666667,34.6,34.95,637.2910585,6.748921016
0.1,34.6,34.95,637.1395155,6.723536943
0.133333333,34.6,34.95,636.9885895,6.69825619
0.166666667,34.6,35,636.8382789,6.673078538
0.2,34.6,35,636.6885825,6.648003768
0.233333333,34.6,35.05,636.539499,6.623031661
0.266666667,34.6,35.1,636.3910271,6.598161998
0.3,34.6,35.15,636.2431655,6.573394559
0.333333333,34.65,35.25,636.0959129,6.548729126
0.366666667,34.65,35.35,635.9492679,6.524165479
0.4,34.65,35.55,635.8032293,6.4997034
0.433333333,34.7,35.75,635.6577957,6.475342669
0.466666667,34.7,35.95,635.5129659,6.451083067
0.5,34.75,36.2,635.3687385,6.426924375
0.533333333,34.8,36.4,635.2251123,6.402866374
0.566666667,34.75,36.65,635.0820858,6.378908845
0.6,34.8,36.9,634.9396579,6.355051568
0.633333333,34.85,37.15,634.7978271,6.331294325
0.666666667,34.8,37.45,634.6565923,6.307636896
0.7,34.9,37.7,634.515952,6.284079063
0.733333333,34.9,37.95,634.375905,6.260620606
0.766666667,34.95,38.2,634.23645,6.237261306
0.8,34.95,38.45,634.0975856,6.214000944
0.833333333,34.95,38.65,633.9593106,6.190839301
0.866666667,35,38.95,633.8216237,6.167776158
0.9,35,39.2,633.6845234,6.144811295
0.933333333,35.05,39.5,633.5480086,6.121944494
0.966666667,35.05,39.65,633.4120779,6.099175535
1,35.1,39.9,633.2767301,6.0765042
1.033333333,35.1,40.1,633.1419637,6.053930269
1.066666667,35.2,40.35,633.0077775,6.031453523
1.1,35.2,40.6,632.8741702,6.009073743
1.133333333,35.25,40.85,632.7411405,5.98679071
1.166666667,35.25,41,632.6086871,5.964604205
1.2,35.3,41.2,632.4768086,5.942514008
1.233333333,35.3,41.4,632.3455038,5.920519901
1.266666667,35.35,41.6,632.2147713,5.898621664
1.3,35.35,41.8,632.0846099,5.876819079
1.333333333,35.35,42,631.9550182,5.855111926
1.366666667,35.35,42.1,631.8259949,5.833499986
1.4,35.4,42.25,631.6975387,5.81198304
1.433333333,35.45,42.4,631.5696484,5.790560869
1.466666667,35.5,42.6,631.4423225,5.769233254
1.5,35.5,42.8,631.3155599,5.747999975
1.533333333,35.5,42.95,631.1893591,5.726860814
1.566666667,35.55,43.1,631.0637188,5.705815551
1.6,35.6,43.2,630.9386379,5.684863968
1.633333333,35.75,43.4,630.8141149,5.664005845
1.666666667,35.8,43.6,630.6901485,5.643240963
1.7,35.85,43.75,630.5667375,5.622569103
1.733333333,35.9,43.9,630.4438806,5.601990046
1.766666667,36.05,44.15,630.3215763,5.581503573
1.8,36.1,44.35,630.1998235,5.561109464
1.833333333,36.2,44.5,630.0786208,5.540807501
1.866666667,36.35,44.6,629.9579669,5.520597464
1.9,36.5,44.65,629.8378604,5.500479135
1.933333333,36.5,44.8,629.7183002,5.480452294
1.966666667,36.7,44.95,629.5992848,5.460516722
2,36.75,45.15,629.480813,5.4406722
2.033333333,37,45.3,629.3628835,5.420918509
2.066666667,37.1,45.4,629.2454949,5.40125543
2.1,37.25,45.45,629.128646,5.381682743
2.133333333,37.4,45.6,629.0123354,5.36220023
2.166666667,37.55,45.85,628.8965618,5.342807671
2.2,37.7,46.05,628.7813239,5.323504848
2.233333333,37.85,46.2,628.6666205,5.304291541
2.266666667,38.05,46.35,628.5524502,5.285167531
2.3,38.1,46.45,628.4388116,5.266132599
2.333333333,38.15,46.65,628.3257036,5.247186526
2.366666667,38.25,46.75,628.2131247,5.228329093
2.4,38.4,46.95,628.1010737,5.20956008
2.433333333,38.6,47.15,627.9895492,5.190879269
2.466666667,38.75,47.35,627.87855,5.17228644
2.5,38.8,47.5,627.7680748,5.153781375
2.533333333,38.9,47.65,627.6581222,5.135363854
2.566666667,39.1,47.75,627.5486909,5.117033658
2.6,39.2,47.95,627.4397797,5.098790568
2.633333333,39.35,48.15,627.3313872,5.080634365
2.666666667,39.4,48.35,627.223512,5.06256483
2.7,39.55,48.6,627.116153,5.044581743
2.733333333,39.6,48.65,627.0093088,5.026684886
2.766666667,39.65,48.75,626.902978,5.008874039
2.8,39.65,48.9,626.7971594,4.991148984
2.833333333,39.65,49.1,626.6918517,4.973509501
2.866666667,39.7,49.25,626.5870536,4.955955371
2.9,39.8,49.4,626.4827637,4.938486375
2.933333333,39.9,49.6,626.3789807,4.921102294
2.966666667,40.05,49.75,626.2757034,4.903802909
3,40.1,49.9,626.1729304,4.886588
3.033333333,40.1,50.05,626.0706604,4.869457349
3.066666667,40.15,50.15,625.9688921,4.852410736
3.1,40.2,50.3,625.8676242,4.835447943
3.133333333,40.25,50.35,625.7668554,4.81856875
3.166666667,40.3,50.5,625.6665844,4.801772938
3.2,40.35,50.6,625.5668099,4.785060288
3.233333333,40.4,50.65,625.4675306,4.768430581
3.266666667,40.55,50.7,625.3687451,4.751883598
3.3,40.65,50.85,625.2704521,4.735419119
3.333333333,40.7,51,625.1726504,4.719036926
3.366666667,40.7,51.05,625.0753387,4.702736799
3.4,40.7,51.05,624.9785156,4.68651852
3.433333333,40.75,51.2,624.8821798,4.670381869
3.466666667,40.95,51.2,624.78633,4.654326627
3.5,40.85,51.3,624.6909649,4.638352575
3.533333333,40.9,51.45,624.5960832,4.622459494
3.566666667,40.95,51.55,624.5016836,4.606647165
3.6,41,51.65,624.4077647,4.590915368
3.633333333,41.05,51.75,624.3143254,4.575263885
3.666666667,41.05,51.85,624.2213642,4.559692496
3.7,41.3,51.95,624.1288799,4.544200983
3.733333333,41.3,51.95,624.0368711,4.528789126
3.766666667,41.45,52.1,623.9453365,4.513456706
3.8,41.65,52.2,623.8542749,4.498203504
3.833333333,41.7,52.35,623.7636849,4.483029301
3.866666667,41.9,52.4,623.6735652,4.467933878
3.9,41.85,52.4,623.5839146,4.452917015
3.933333333,41.9,52.5,623.4947316,4.437978494
3.966666667,41.75,52.55,623.406015,4.423118095
4,41.6,52.75,623.3177635,4.4083356
4.033333333,41.75,52.9,623.2299758,4.393630789
4.066666667,41.9,52.9,623.1426506,4.379003443
4.1,41.8,53.05,623.0557865,4.364453343
4.133333333,41.85,53.05,622.9693822,4.34998027
4.166666667,41.8,53.15,622.8834365,4.335584005
4.2,41.7,53.2,622.797948,4.321264328
4.233333333,41.85,53.25,622.7129155,4.307021021
4.266666667,42.05,53.35,622.6283376,4.292853864
4.3,42.05,53.4,622.544213,4.278762639
4.333333333,42,53.55,622.4605403,4.264747126
4.366666667,42.05,53.6,622.3773184,4.250807106
4.4,42.25,53.75,622.2945459,4.23694236
4.433333333,42.3,53.85,622.2122214,4.223152669
4.466666667,42.35,53.95,622.1303437,4.209437814
4.5,42.65,54,622.0489115,4.195797575
4.533333333,42.55,54,621.9679235,4.182231734
4.566666667,42.45,54.15,621.8873782,4.168740071
4.6,42.45,54.2,621.8072745,4.155322368
4.633333333,42.55,54.25,621.7276111,4.141978405
4.666666667,42.7,54.35,621.6483865,4.128707963
4.7,42.6,54.5,621.5695996,4.115510823
4.733333333,42.75,54.5,621.491249,4.102386766
4.766666667,42.85,54.55,621.4133334,4.089335573
4.8,42.95,54.7,621.3358514,4.076357024
4.833333333,42.95,54.75,621.2588019,4.063450901
4.866666667,43.05,54.8,621.1821834,4.050616984
4.9,43,54.9,621.1059947,4.037855055
4.933333333,43.1,54.95,621.0302344,4.025164894
4.966666667,43.1,54.85,620.9549013,4.012546282
5,43.15,55,620.879994,3.999999
5.033333333,43.15,55.05,620.8055113,3.987522829
5.066666667,43.25,55.1,620.7314518,3.97511755
5.1,43.2,55.15,620.6578142,3.962782943
5.133333333,43.4,55.25,620.5845972,3.95051879
5.166666667,43.5,55.25,620.5117995,3.938324871
5.2,43.4,55.3,620.4394198,3.926200968
5.233333333,43.4,55.25,620.3674568,3.914146861
5.266666667,43.4,55.35,620.2959091,3.902162331
5.3,43.5,55.35,620.2247755,3.890247159
5.333333333,43.55,55.35,620.1540547,3.878401126
5.366666667,43.75,55.45,620.0837454,3.866624013
5.4,43.6,55.6,620.0138461,3.8549156
5.433333333,43.55,55.65,619.9443557,3.843275669
5.466666667,43.55,55.55,619.8752729,3.831704
5.5,43.7,55.65,619.8065962,3.820200375
5.533333333,43.7,55.7,619.7383245,3.808764574
5.566666667,43.65,55.8,619.6704564,3.797396378
5.6,43.8,56,619.6029905,3.786095568
5.633333333,43.8,55.95,619.5359257,3.774861925
5.666666667,43.95,55.9,619.4692605,3.76369523
5.7,44,55.95,619.4029937,3.752595263
5.733333333,44.15,56,619.337124,3.741561806
5.766666667,44.1,56.1,619.27165,3.730594639
5.8,44.15,56.15,619.2065705,3.719693544
5.833333333,44.05,56.2,619.1418841,3.708858301
5.866666667,44.2,56.2,619.0775895,3.698088691
5.9,44.3,56.25,619.0136854,3.687384495
5.933333333,44.3,56.4,618.9501706,3.676745494
5.966666667,44.35,56.45,618.8870437,3.666171469
6,44.35,56.45,618.8243033,3.6556622
6.033333333,44.35,56.5,618.7619483,3.645217469
6.066666667,44.5,56.5,618.6999772,3.634837056
6.1,44.55,56.6,618.6383888,3.624520743
6.133333333,44.6,56.65,618.5771818,3.61426831
6.166666667,44.7,56.7,618.5163548,3.604079538
6.2,44.7,56.7,618.4559066,3.593954208
6.233333333,44.6,56.85,618.3958358,3.583892101
6.266666667,44.65,56.9,618.3361412,3.573892998
6.3,44.75,56.95,618.2768214,3.563956679
6.333333333,44.85,56.95,618.2178751,3.554082926
6.366666667,45,57,618.159301,3.544271519
6.4,44.85,57.05,618.1010978,3.53452224
6.433333333,44.95,57.15,618.0432642,3.524834869
6.466666667,44.9,57.3,617.9857988,3.515209187
6.5,45,57.4,617.9287005,3.505644975
6.533333333,45,57.4,617.8719678,3.496142014
6.566666667,45.05,57.4,617.8155995,3.486700085
6.6,45.1,57.55,617.7595942,3.477318968
6.633333333,44.9,57.55,617.7039507,3.467998445
6.666666667,45.05,57.55,617.6486676,3.458738296
6.7,45.2,57.55,617.5937437,3.449538303
6.733333333,45.1,57.6,617.5391775,3.440398246
6.766666667,45.15,57.65,617.4849679,3.431317906
6.8,45.1,57.75,617.4311135,3.422297064
6.833333333,45.3,57.65,617.3776129,3.413335501
6.866666667,45.45,57.75,617.324465,3.404432998
6.9,45.5,57.8,617.2716683,3.395589335
6.933333333,45.55,57.85,617.2192216,3.386804294
6.966666667,45.7,57.8,617.1671236,3.378077655
7,45.6,57.85,617.1153729,3.3694092
7.033333333,45.6,57.8,617.0639683,3.360798709
7.066666667,45.6,57.85,617.0129084,3.352245963
7.1,45.6,57.85,616.9621919,3.343750743
7.133333333,45.45,57.85,616.9118176,3.33531283
7.166666667,45.5,57.95,616.8617841,3.326932005
7.2,45.8,58.05,616.81209,3.318608048
7.233333333,45.75,58.05,616.7627342,3.310340741
7.266666667,45.8,58.05,616.7137153,3.302129864
7.3,45.8,58.1,616.6650319,3.293975199
7.333333333,45.9,58.25,616.6166829,3.285876526
7.366666667,46.05,58.3,616.5686667,3.277833626
7.4,46,58.3,616.5209823,3.26984628
7.433333333,46.05,58.3,616.4736282,3.261914269
7.466666667,46.1,58.35,616.4266031,3.254037374
7.5,46.05,58.35,616.3799058,3.246215375
7.533333333,46.05,58.45,616.3335349,3.238448054
7.566666667,46.1,58.5,616.2874891,3.230735191
7.6,46.2,58.5,616.2417671,3.223076568
7.633333333,46.2,58.55,616.1963676,3.215471965
7.666666667,46.15,58.6,616.1512893,3.207921163
7.7,46.35,58.6,616.1065309,3.200423943
7.733333333,46.3,58.65,616.0620911,3.192980086
7.766666667,46.3,58.75,616.0179686,3.185589373
7.8,46.35,58.75,615.974162,3.178251584
7.833333333,46.35,58.8,615.93067,3.170966501
7.866666667,46.5,58.75,615.8874914,3.163733904
7.9,46.5,58.85,615.8446248,3.156553575
7.933333333,46.5,58.9,615.802069,3.149425294
7.966666667,46.55,58.95,615.7598226,3.142348842
8,46.7,59.05,615.7178843,3.135324
8.033333333,46.75,59.05,615.6762528,3.128350549
8.066666667,46.65,59.1,615.6349268,3.12142827
8.1,46.6,59.05,615.5939049,3.114556943
8.133333333,46.7,59.15,615.553186,3.10773635
8.166666667,46.7,59.2,615.5127686,3.100966271
8.2,46.65,59.2,615.4726515,3.094246488
8.233333333,46.65,59.35,615.4328334,3.087576781
8.266666667,46.75,59.4,615.3933129,3.080956931
8.3,46.75,59.4,615.3540887,3.074386719
8.333333333,46.9,59.45,615.3151596,3.067865926
8.366666667,46.8,59.6,615.2765242,3.061394333
8.4,46.9,59.6,615.2381812,3.05497172
8.433333333,47,59.65,615.2001293,3.048597869
8.466666667,47.15,59.65,615.1623672,3.04227256
8.5,47.2,59.6,615.1248936,3.035995575
8.533333333,47.25,59.6,615.0877072,3.029766694
8.566666667,47.15,59.65,615.0508066,3.023585698
8.6,47.3,59.6,615.0141906,3.017452368
8.633333333,47.35,59.7,614.9778579,3.011366485
8.666666667,47.35,59.75,614.9418071,3.00532783
8.7,47.2,59.7,614.906037,2.999336183
8.733333333,47.2,59.75,614.8705462,2.993391326
8.766666667,47.35,59.7,614.8353334,2.987493039
8.8,47.4,59.7,614.8003974,2.981641104
8.833333333,47.45,59.75,614.7657367,2.975835301
8.866666667,47.55,59.9,614.7313502,2.970075411
8.9,47.5,59.85,614.6972365,2.964361215
8.933333333,47.65,59.9,614.6633942,2.958692494
8.966666667,47.5,59.95,614.6298221,2.953069029
9,47.45,60,614.5965189,2.9474906
9.033333333,47.35,59.95,614.5634832,2.941956989
9.066666667,47.5,60,614.5307138,2.936467976
9.1,47.65,60.1,614.4982094,2.931023343
9.133333333,47.65,60.2,614.4659685,2.92562287
9.166666667,47.7,60.1,614.43399,2.920266338
9.2,47.7,60.1,614.4022726,2.914953528
9.233333333,47.8,60.15,614.3708148,2.909684221
9.266666667,47.7,60.15,614.3396154,2.904458198
9.3,47.75,60.2,614.3086732,2.899275239
9.333333333,47.9,60.3,614.2779867,2.894135126
9.366666667,47.8,60.35,614.2475547,2.889037639
9.4,47.65,60.35,614.2173759,2.88398256
9.433333333,47.75,60.3,614.1874489,2.878969669
9.466666667,47.85,60.35,614.1577725,2.873998747
9.5,47.7,60.35,614.1283454,2.869069575
9.533333333,47.95,60.45,614.0991661,2.864181934
9.566666667,47.85,60.45,614.0702336,2.859335605
9.6,48,60.5,614.0415463,2.854530368
9.633333333,47.95,60.55,614.013103,2.849766005
9.666666667,48.1,60.55,613.9849025,2.845042296
9.7,48.15,60.65,613.9569434,2.840359023
9.733333333,48.2,60.7,613.9292243,2.835715966
9.766666667,48.25,60.7,613.901744,2.831112906
9.8,48.35,60.8,613.8745013,2.826549624
9.833333333,48.3,60.85,613.8474946,2.822025901
9.866666667,48.2,60.8,613.8207229,2.817541518
9.9,48.2,60.8,613.7941846,2.813096255
9.933333333,48.2,60.8,613.7678787,2.808689894
9.966666667,48.25,60.85,613.7418036,2.804322215
10,48.25,60.9,613.7159582,2.799993
10.03333333,48.2,61.05,613.6903411,2.795702029
10.06666667,48.5,61.1,613.664951,2.791449083
10.1,48.45,61.05,613.6397866,2.787233943
10.13333333,48.35,61.05,613.6148466,2.78305639
10.16666667,48.6,61.1,613.5901297,2.778916205
10.2,48.55,61.25,613.5656346,2.774813168
10.23333333,48.55,61.25,613.54136,2.770747061
10.26666667,48.65,61.2,613.5173045,2.766717664
10.3,48.65,61.15,613.4934668,2.762724759
10.33333333,48.6,61.3,613.4698457,2.758768126
10.36666667,48.7,61.25,613.4464398,2.754847546
10.4,48.8,61.25,613.4232479,2.7509628
10.43333333,48.9,61.3,613.4002686,2.747113669
10.46666667,48.95,61.35,613.3775006,2.743299934
10.5,48.8,61.4,613.3549426,2.739521375
10.53333333,48.7,61.35,613.3325933,2.735777774
10.56666667,48.8,61.4,613.3104514,2.732068911
10.6,48.8,61.35,613.2885156,2.728394568
10.63333333,48.8,61.3,613.2667845,2.724754525
10.66666667,48.65,61.35,613.2452569,2.721148563
10.7,48.65,61.45,613.2239315,2.717576463
10.73333333,48.65,61.6,613.2028069,2.714038006
10.76666667,48.9,61.55,613.1818818,2.710532973
10.8,49.1,61.55,613.161155,2.707061144
