t[min],T_inlet[C],T_outlet[C],w_clothes_ideal+noise[g],w_clothes_ideal+noise[%]
0,34.65,34.95,611.389153,2.410243381
0.033333333,34.65,34.95,611.1812875,2.375425038
0.066666667,34.6,34.95,611.7244418,2.46640567
0.1,34.6,34.95,610.1224827,2.19807081
0.133333333,34.6,34.95,611.3663963,2.406431534
0.166666667,34.6,35,612.4964828,2.595725766
0.2,34.6,35,611.5852396,2.443088707
0.233333333,34.6,35.05,611.9995756,2.512491723
0.266666667,34.6,35.1,611.691665,2.460915407
0.3,34.6,35.15,610.6383171,2.28447523
0.333333333,34.65,35.25,610.5356002,2.267269707
0.366666667,34.65,35.35,611.5711455,2.440727889
0.4,34.65,35.55,610.818006,2.314573872
0.433333333,34.7,35.75,611.5382281,2.435214095
0.466666667,34.7,35.95,611.7640491,2.473040054
0.5,34.75,36.2,611.8191653,2.482272246
0.533333333,34.8,36.4,611.5128855,2.430969093
0.566666667,34.75,36.65,611.0273325,2.349636939
0.6,34.8,36.9,612.0648119,2.523419075
0.633333333,34.85,37.15,611.464423,2.422851428
0.666666667,34.8,37.45,611.1126967,2.363935804
0.7,34.9,37.7,611.3560939,2.404705848
0.733333333,34.9,37.95,611.2362463,2.384630867
0.766666667,34.95,38.2,611.517384,2.431722606
0.8,34.95,38.45,611.3596718,2.405305154
0.833333333,34.95,38.65,611.9513648,2.504416208
0.866666667,35,38.95,611.9025913,2.496246443
0.9,35,39.2,611.716524,2.465079391
0.933333333,35.05,39.5,611.1270482,2.366339731
0.966666667,35.05,39.65,611.2511235,2.387122867
1,35.1,39.9,611.5156786,2.431436954
1.033333333,35.1,40.1,610.7821622,2.30856989
1.066666667,35.2,40.35,610.6349763,2.283915633
1.1,35.2,40.6,610.6827255,2.291913818
1.133333333,35.25,40.85,611.6120692,2.447582779
1.166666667,35.25,41,611.6125766,2.44766778
1.2,35.3,41.2,611.3958069,2.411357942
1.233333333,35.3,41.4,610.7761223,2.307558178
1.266666667,35.35,41.6,610.8224765,2.315322694
1.3,35.35,41.8,611.1035742,2.362407735
1.333333333,35.35,42,611.7266297,2.466772141
1.366666667,35.35,42.1,611.308167,2.396677897
1.4,35.4,42.25,610.7584969,2.304605848
1.433333333,35.45,42.4,610.8076463,2.312838571
1.466666667,35.5,42.6,611.9585703,2.505623173
1.5,35.5,42.8,612.2937599,2.561768827
1.533333333,35.5,42.95,612.919116,2.666518597
1.566666667,35.55,43.1,611.7101055,2.464004272
1.6,35.6,43.2,611.2526827,2.387384036
1.633333333,35.75,43.4,610.6080655,2.27940795
1.666666667,35.8,43.6,610.6044322,2.278799362
1.7,35.85,43.75,610.9432252,2.335548615
1.733333333,35.9,43.9,611.9443071,2.503234021
1.766666667,36.05,44.15,610.9869114,2.342866239
1.8,36.1,44.35,611.6625735,2.456042464
1.833333333,36.2,44.5,612.5516688,2.60496964
1.866666667,36.35,44.6,611.5990962,2.445409752
1.9,36.5,44.65,612.3422494,2.569891014
1.933333333,36.5,44.8,612.6034387,2.61364132
1.966666667,36.7,44.95,611.0496883,2.353381631
2,36.75,45.15,611.6473197,2.453487393
2.033333333,37,45.3,611.4348484,2.417897553
2.066666667,37.1,45.4,612.5809303,2.609871078
2.1,37.25,45.45,611.1892499,2.376758785
2.133333333,37.4,45.6,611.2705155,2.390371098
2.166666667,37.55,45.85,610.8642749,2.322324103
2.2,37.7,46.05,611.3750578,2.407882383
2.233333333,37.85,46.2,611.1704139,2.373603673
2.266666667,38.05,46.35,611.4258504,2.416390349
2.3,38.1,46.45,611.929213,2.500705687
