t[min],CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH20,CH4_T_Sensirion,CH4_RH_Sensirion,CH7_T_Sensirion,CH7_RH_Sensirion,CH9_T_Sensirion,CH9_RH_Sensirion,CH10_T_Sensirion,CH10_RH_Sensirion,w_clothes_ideal+noise[g],w_clothes_ideal+noise[%],,,
0,34.4,34.7,35.2,34.65,34.55,34.45,34.95,34.9,34.95,34.65,37.9,38.15,22.45,34.057755,100,34.605173,95.402457,34.597162,98.049897,34.271382,100,636.9482118,6.69149276,,,
0.033333333,34.4,34.7,35.2,34.65,34.55,34.5,34.95,34.9,35.15,34.65,37.75,38.15,22.65,34.084459,100,34.591821,95.379568,34.653239,98.075837,34.25803,100,637.3166333,6.753204909,,,
0.066666667,34.4,34.7,35.2,34.6,34.5,34.5,34.95,34.95,38.6,34.8,38,38.1,22.85,34.057755,100,34.591821,95.420768,35.291447,98.446632,34.300755,100,637.8512231,6.842750944,,,
0.1,34.4,34.7,35.2,34.6,34.6,34.5,34.95,35.2,41.3,35.15,37.9,38.05,22.95,34.084459,100,34.591821,95.388724,38.661402,99.432364,34.541085,100,637.0007378,6.700291088,,,
0.133333333,34.4,34.7,35.2,34.6,34.6,34.55,34.95,35.6,46.45,35.6,37.85,38,23,34.09781,100,34.57847,95.426871,40.402457,99.472038,34.952316,100,636.1381266,6.555800102,,,
0.166666667,34.4,34.7,35.2,34.6,34.65,34.7,35,36.1,49.85,36.1,37.7,37.95,22.9,34.057755,100,34.591821,95.452811,45.05951,99.719234,35.390249,100,636.3390403,6.589453993,,,
0.2,34.4,34.7,35.15,34.6,34.75,34.75,35,36.8,51.9,36.6,37.7,37.95,22.75,34.071107,100,34.634546,95.527581,47.607004,99.423209,35.857557,100,636.799138,6.666522277,,,
0.233333333,34.4,34.65,35.15,34.6,34.85,34.85,35.05,37.4,53.3,37.1,37.8,37.9,22.65,34.028382,100,34.690623,95.590143,48.613718,99.037156,36.324865,100,635.7939187,6.498143838,,,
0.266666667,34.4,34.65,35.15,34.6,34.9,34.95,35.1,38.1,54.75,37.55,37.6,37.85,22.55,34.041733,100,34.7467,95.640497,50.130465,98.973068,36.818875,100,635.9467386,6.523741805,,,
0.3,34.4,34.7,35.15,34.6,35.05,35,35.15,38.85,54.1,37.95,37.55,37.8,22.7,34.057755,100,34.792096,95.715267,51.489662,98.924239,37.243458,100,637.6037687,6.801301297,,,
0.333333333,34.4,34.7,35.15,34.65,35.2,35.15,35.25,39.8,52.4,38.6,37.7,37.8,22.9,34.09781,100,34.877546,95.700008,51.163882,98.716716,37.753491,100,636.4646528,6.610494608,,,
0.366666667,34.4,34.65,35.15,34.65,35.35,35.2,35.35,40.55,53.55,38.95,37.75,37.75,22.75,34.084459,100,35.003052,95.609979,51.078431,98.846418,38.191424,100,635.6239489,6.469673183,,,
0.4,34.45,34.7,35.15,34.65,35.45,35.3,35.55,41.5,55.25,39.4,37.65,37.7,22.65,34.140536,100,35.173953,95.37499,52.04509,98.757916,38.616007,100,636.3590563,6.592806744,,,
0.433333333,34.5,34.75,35.15,34.7,35.6,35.4,35.75,42.35,56.15,39.8,37.5,37.7,22.6,34.156558,100,35.371557,94.97673,53.206683,98.72282,39.053941,100,636.3889924,6.597821176,,,
0.466666667,34.5,34.75,35.2,34.7,35.65,35.5,35.95,43.1,57.25,40.25,37.65,37.7,22.3,34.169909,100,35.611887,94.354162,53.842222,98.675517,39.409094,100,635.7670962,6.493650956,,,
0.5,34.55,34.75,35.2,34.75,35.75,35.6,36.2,43.85,58.1,40.65,37.5,37.65,22.45,34.225986,100,35.88159,93.580529,55.185397,98.757916,39.847028,100,635.5216931,6.452544909,,,
0.533333333,34.55,34.8,35.2,34.8,35.85,35.7,36.4,44.55,56.55,41.1,37.7,37.65,22.6,34.239338,100,36.12192,92.625315,54.253452,98.304723,40.226215,100,634.7098946,6.316565261,,,
0.566666667,34.55,34.8,35.2,34.75,35.85,35.75,36.65,45.3,56.25,41.4,37.6,37.6,22.8,34.239338,100,36.391623,91.607538,54.168002,98.155184,40.650797,100,635.8865775,6.513664578,,,
0.6,34.6,34.85,35.25,34.8,35.95,35.85,36.9,46.4,58.55,41.9,37.75,37.6,22.9,34.239338,100,36.706722,90.536355,55.428397,98.393225,41.07538,100,634.5513274,6.290004589,,,
0.633333333,34.6,34.9,35.25,34.85,36.1,35.95,37.15,47.1,58.95,42.3,37.7,37.6,22.75,34.252689,100,37.01648,89.442283,56.461814,97.990387,41.529335,100,634.3950062,6.263820134,,,
0.666666667,34.65,34.9,35.25,34.8,36.05,36.1,37.45,47.35,59.05,42.7,37.45,37.55,22.75,34.354162,100,37.411688,88.178836,56.870375,97.079423,41.881819,100,634.5348682,6.287247604,,,
0.7,34.7,34.9,35.3,34.9,36.1,36.25,37.7,48.2,59.5,43.2,37.5,37.55,22.9,34.383536,100,37.740139,86.761273,56.432441,93.369955,42.335775,100,634.8922838,6.347116216,,,
0.733333333,34.7,34.95,35.3,34.9,36.15,36.4,37.95,49.5,59.85,43.55,37.6,37.55,22.75,34.396887,100,37.99649,85.313191,55.754177,92.106508,42.813764,100,636.0035252,6.533253802,,,
0.766666667,34.75,35,35.3,34.95,36.15,36.55,38.2,50.3,58.35,44.1,37.65,37.55,22.75,34.439612,100,38.207446,84.216068,56.857023,95.947204,43.222324,100,634.3504765,6.25636122,,,
0.8,34.8,35,35.35,34.95,36.2,36.75,38.45,50.8,58.8,44.55,37.55,37.55,22.8,34.439612,100,38.463798,83.163195,55.922408,90.737774,43.689631,100,634.1788299,6.227609702,,,
0.833333333,34.8,35.05,35.35,34.95,36.25,36.95,38.65,51.85,59.2,44.95,37.55,37.55,22.9,34.439612,100,38.744182,82.058442,57.748913,96.850538,44.159609,100,633.4169618,6.099993609,,,
0.866666667,34.85,35.05,35.35,35,36.25,37.15,38.95,52.25,60.8,45.55,37.45,37.55,22.6,34.482338,100,39.085985,80.78584,58.883803,98.287938,44.65362,100,633.4197297,6.10045723,,,
0.9,34.85,35.1,35.4,35,36.2,37.35,39.2,52.9,60.9,45.95,37.65,37.55,21.9,34.509041,100,39.355688,79.588006,58.785,98.236057,45.107576,100,635.0440428,6.372536485,,,
0.933333333,34.9,35.15,35.4,35.05,36.2,37.7,39.5,53.75,61.6,46.45,37.9,37.55,22.15,34.565118,100,39.652094,78.336767,59.295033,98.272679,45.588235,100,633.688523,6.145481235,,,
0.966666667,34.9,35.2,35.4,35.05,36.2,37.9,39.65,54.4,61.15,47,37.9,37.55,21.7,34.525063,100,39.806973,77.164874,59.719615,98.405432,46.084916,100,633.1698488,6.058601146,,,
1,34.9,35.2,35.45,35.1,36.4,38.15,39.9,55.35,60.2,47.5,37.85,37.55,21.65,34.538415,100,40.0206,76.273747,59.732967,97.061112,46.594949,100,634.0239301,6.201663328,,,
1.033333333,35,35.3,35.5,35.1,36.8,38.35,40.1,55.55,60.85,47.95,37.95,37.55,21.95,34.594491,100,40.178149,75.518425,59.407187,94.831769,47.075608,100,634.0051406,6.198516007,,,
1.066666667,35,35.3,35.5,35.2,37.2,38.65,40.35,56.6,61.7,48.4,37.85,37.55,21.6,34.607843,100,40.461204,74.718853,59.887846,96.031128,47.500191,100,631.9810225,5.859467756,,,
1.1,35.05,35.35,35.5,35.2,37.65,38.95,40.6,57.5,62.05,48.85,37.95,37.55,21.5,34.650568,100,40.714885,73.777371,60.950637,94.039826,47.924773,100,631.8476413,5.837125854,,,
1.133333333,35.15,35.4,35.55,35.25,38.2,39.15,40.85,58.1,62.4,49.35,37.75,37.55,21.7,34.719997,100,41.00061,72.690929,61.572824,93.224994,48.362707,100,633.4270023,6.101675419,,,
1.166666667,35.15,35.4,35.6,35.25,38.55,39.4,41,59.15,63.35,49.75,37.65,37.55,21.85,34.693294,100,41.168841,71.685359,61.586175,92.92134,48.832685,100,632.3307285,5.918044976,,,
1.2,35.2,35.45,35.65,35.3,38.9,39.55,41.2,59.5,61.9,50.15,37.65,37.55,22.2,34.749371,100,41.297017,70.878157,60.867857,91.19707,49.227893,100,632.3750526,5.92546944,,,
1.233333333,35.25,35.5,35.65,35.3,39.25,39.7,41.4,60.2,61.45,50.6,37.75,37.55,22.4,34.749371,99.986267,41.494621,70.174716,62.283131,93.607996,49.695201,100,632.7923695,5.995371769,,,
1.266666667,35.3,35.55,35.7,35.35,39.65,39.95,41.6,61.2,63.5,50.85,37.7,37.55,22.7,34.778744,99.952697,41.668193,69.478904,61.855879,90.862898,49.975586,100,631.0821769,5.708907354,,,
1.3,35.4,35.55,35.7,35.35,40.1,40.1,41.8,61.65,64.25,51.35,37.8,37.6,22.9,34.765393,99.884031,41.8925,68.778515,62.566186,94.392309,50.330739,100,632.3685691,5.924383428,,,
1.333333333,35.4,35.6,35.7,35.35,40.3,40.25,42,62.1,64.5,51.65,37.7,37.6,22.95,34.850843,99.943542,42.047379,68.044556,62.961395,93.580529,50.699245,100,631.7710317,5.824293421,,,
1.366666667,35.45,35.65,35.7,35.35,40.55,40.35,42.1,63.15,64.4,52,37.5,37.6,22.8,34.877546,99.920653,42.191577,67.290761,63.401999,93.022049,51.06775,100,630.6252336,5.632367439,,,
1.4,35.55,35.65,35.75,35.4,40.6,40.5,42.25,63.6,64.2,52.4,37.5,37.6,22.7,34.893568,99.88098,42.333104,66.759747,62.721065,92.806897,51.449607,100,632.1234933,5.88333221,,,
1.433333333,35.65,35.65,35.75,35.45,40.75,40.6,42.4,64.35,63.8,52.75,37.55,37.6,22.75,34.949645,99.838254,42.45861,66.288243,62.323186,92.188907,51.762036,100,631.2371032,5.734858152,,,
1.466666667,35.7,35.75,35.8,35.5,41,40.9,42.6,64.85,63.3,53.1,37.6,37.6,22.75,34.920272,99.807736,42.685588,65.711452,61.674296,88.285649,52.087816,100,631.4255665,5.76642655,,,
1.5,35.8,35.75,35.8,35.5,41.15,41,42.8,65.45,63.9,53.3,37.4,37.65,22.9,34.949645,99.80621,42.896544,65.061418,62.365911,96.629282,52.400244,100,631.2216655,5.732272283,,,
1.533333333,35.85,35.8,35.85,35.5,41.3,41.1,42.95,65.95,65.4,53.6,37.7,37.65,22.65,35.005722,99.761959,43.054093,64.368658,63.626307,98.036164,52.651255,100,630.4508508,5.603157583,,,
1.566666667,35.95,35.9,35.85,35.55,41.4,41.2,43.1,67.15,65.6,53.9,37.6,37.65,22.5,35.048447,99.705501,43.136873,63.773556,63.89601,97.261006,52.963684,100,630.8114071,5.663552273,,,
1.6,36,35.9,35.85,35.6,41.5,41.35,43.2,67.4,66.15,54.2,37.6,37.65,22.5,35.048447,99.623102,43.265049,63.253223,64.87335,95.40856,53.249409,100,630.5471795,5.619293052,,,
1.633333333,36.15,35.95,35.9,35.75,41.6,41.6,43.4,68.2,65.8,54.4,37.6,37.7,22.55,35.144579,99.56054,43.409247,62.862593,64.675746,94.506752,53.460365,100,631.1724662,5.724031191,,,
1.666666667,36.2,36.05,35.95,35.8,41.75,41.75,43.6,68.7,65.6,54.75,37.5,37.7,22.6,35.216678,99.459831,43.590829,62.42771,64.961471,92.103456,53.714046,100,631.3103602,5.747129017,,,
1.7,36.25,36.1,35.95,35.85,41.85,41.9,43.75,69.2,66.35,54.85,37.75,37.75,22.95,35.200656,99.322499,43.764401,61.879911,64.830625,92.19501,53.882277,100,630.5251729,5.615606854,,,
1.733333333,36.3,36.2,36.05,35.9,42,41.95,43.9,69.85,65.9,55.1,37.55,37.75,23.15,35.358206,99.093614,44.00206,61.269551,65.11635,95.985351,54.082551,100,628.9309218,5.348563111,,,
1.766666667,36.4,36.25,36.05,36.05,42.1,41.95,44.15,70.35,66.3,55.2,37.4,37.75,23.2,35.416953,98.725872,44.218357,60.556954,65.695811,95.66949,54.306859,100,631.6605142,5.805781275,,,
